,dot_s,psi,t,x,y,z
0,0.8972879878838487,0.7853981633974483,0.0,0.0,0.0,-100.0
1,0.0,0.7853981633974483,0.01,0.0,0.0,-100.0
2,0.0,0.7853981633974483,0.02,0.0,0.0,-100.0
3,0.0,0.7853981633974483,0.03,0.0,0.0,-100.0
4,0.0,0.7853981633974483,0.04,0.0,0.0,-100.0
5,0.0,0.7853981633974483,0.05,0.0,0.0,-100.0
6,0.0,0.7853981633974483,0.06,0.0,0.0,-100.0
7,0.0,0.7853981633974483,0.07,0.0,0.0,-100.0
8,0.0,0.7853981633974483,0.08,0.0,0.0,-100.0
9,0.0,0.7853981633974483,0.09,0.0,0.0,-100.0
10,0.0,0.7853981633974483,0.1,0.0,0.0,-100.0
11,0.0,0.7853981633974483,0.11,0.0,0.0,-100.0
12,0.0,0.7853981633974483,0.12,0.0,0.0,-100.0
13,0.0,0.7853981633974483,0.13,0.0,0.0,-100.0
14,0.0,0.7853981633974483,0.14,0.0,0.0,-100.0
15,0.0,0.7853981633974483,0.15,0.0,0.0,-100.0
16,0.0,0.7853981633974483,0.16,0.0,0.0,-100.0
17,0.0,0.7853981633974483,0.17,0.0,0.0,-100.0
18,0.0,0.7853981633974483,0.18,0.0,0.0,-100.0
19,0.0,0.7853981633974483,0.19,0.0,0.0,-100.0
20,0.0,0.7853981633974483,0.2,0.0,0.0,-100.0
21,0.0,0.7853981633974483,0.21,0.0,0.0,-100.0
22,0.0,0.7853981633974483,0.22,0.0,0.0,-100.0
23,0.0,0.7853981633974483,0.23,0.0,0.0,-100.0
24,0.0,0.7853981633974483,0.24,0.0,0.0,-100.0
25,0.0,0.7853981633974483,0.25,0.0,0.0,-100.0
26,0.0,0.7853981633974483,0.26,0.0,0.0,-100.0
27,0.0,0.7853981633974483,0.27,0.0,0.0,-100.0
28,0.0,0.7853981633974483,0.28,0.0,0.0,-100.0
29,0.0,0.7853981633974483,0.29,0.0,0.0,-100.0
30,0.0,0.7853981633974483,0.3,0.0,0.0,-100.0
31,0.0,0.7853981633974483,0.31,0.0,0.0,-100.0
32,0.0,0.7853981633974483,0.32,0.0,0.0,-100.0
33,0.0,0.7853981633974483,0.33,0.0,0.0,-100.0
34,0.0,0.7853981633974483,0.34,0.0,0.0,-100.0
35,0.0,0.7853981633974483,0.35000000000000003,0.0,0.0,-100.0
36,0.0,0.7853981633974483,0.36,0.0,0.0,-100.0
37,0.0,0.7853981633974483,0.37,0.0,0.0,-100.0
38,0.0,0.7853981633974483,0.38,0.0,0.0,-100.0
39,0.0,0.7853981633974483,0.39,0.0,0.0,-100.0
40,0.0,0.7853981633974483,0.4,0.0,0.0,-100.0
41,0.0,0.7853981633974483,0.41000000000000003,0.0,0.0,-100.0
42,0.0,0.7853981633974483,0.42,0.0,0.0,-100.0
43,0.0,0.7853981633974483,0.43,0.0,0.0,-100.0
44,0.0,0.7853981633974483,0.44,0.0,0.0,-100.0
45,0.0,0.7853981633974483,0.45,0.0,0.0,-100.0
46,0.0,0.7853981633974483,0.46,0.0,0.0,-100.0
47,0.0,0.7853981633974483,0.47000000000000003,0.0,0.0,-100.0
48,0.0,0.7853981633974483,0.48,0.0,0.0,-100.0
49,0.0,0.7853981633974483,0.49,0.0,0.0,-100.0
50,0.0,0.7853981633974483,0.5,0.0,0.0,-100.0
51,0.0,0.7853981633974483,0.51,0.0,0.0,-100.0
52,0.0,0.7853981633974483,0.52,0.0,0.0,-100.0
53,0.0,0.7853981633974483,0.53,0.0,0.0,-100.0
54,0.0,0.7853981633974483,0.54,0.0,0.0,-100.0
55,0.0,0.7853981633974483,0.55,0.0,0.0,-100.0
56,0.0,0.7853981633974483,0.56,0.0,0.0,-100.0
57,0.0,0.7853981633974483,0.5700000000000001,0.0,0.0,-100.0
58,0.0,0.7853981633974483,0.58,0.0,0.0,-100.0
59,0.0,0.7853981633974483,0.59,0.0,0.0,-100.0
60,0.0,0.7853981633974483,0.6,0.0,0.0,-100.0
61,0.0,0.7853981633974483,0.61,0.0,0.0,-100.0
62,0.0,0.7853981633974483,0.62,0.0,0.0,-100.0
63,0.0,0.7853981633974483,0.63,0.0,0.0,-100.0
64,0.0,0.7853981633974483,0.64,0.0,0.0,-100.0
65,0.0,0.7853981633974483,0.65,0.0,0.0,-100.0
66,0.0,0.7853981633974483,0.66,0.0,0.0,-100.0
67,0.0,0.7853981633974483,0.67,0.0,0.0,-100.0
68,0.0,0.7853981633974483,0.68,0.0,0.0,-100.0
69,0.0,0.7853981633974483,0.6900000000000001,0.0,0.0,-100.0
70,0.0,0.7853981633974483,0.7000000000000001,0.0,0.0,-100.0
71,0.0,0.7853981633974483,0.71,0.0,0.0,-100.0
72,0.0,0.7853981633974483,0.72,0.0,0.0,-100.0
73,0.0,0.7853981633974483,0.73,0.0,0.0,-100.0
74,0.0,0.7853981633974483,0.74,0.0,0.0,-100.0
75,0.0,0.7853981633974483,0.75,0.0,0.0,-100.0
76,0.0,0.7853981633974483,0.76,0.0,0.0,-100.0
77,0.0,0.7853981633974483,0.77,0.0,0.0,-100.0
78,0.0,0.7853981633974483,0.78,0.0,0.0,-100.0
79,0.0,0.7853981633974483,0.79,0.0,0.0,-100.0
80,0.0,0.7853981633974483,0.8,0.0,0.0,-100.0
81,0.0,0.7853981633974483,0.81,0.0,0.0,-100.0
82,0.0,0.7853981633974483,0.8200000000000001,0.0,0.0,-100.0
83,0.0,0.7853981633974483,0.8300000000000001,0.0,0.0,-100.0
84,0.0,0.7853981633974483,0.84,0.0,0.0,-100.0
85,0.0,0.7853981633974483,0.85,0.0,0.0,-100.0
86,0.0,0.7853981633974483,0.86,0.0,0.0,-100.0
87,0.0,0.7853981633974483,0.87,0.0,0.0,-100.0
88,0.0,0.7853981633974483,0.88,0.0,0.0,-100.0
89,0.0,0.7853981633974483,0.89,0.0,0.0,-100.0
90,0.0,0.7853981633974483,0.9,0.0,0.0,-100.0
91,0.0,0.7853981633974483,0.91,0.0,0.0,-100.0
92,0.0,0.7853981633974483,0.92,0.0,0.0,-100.0
93,0.0,0.7853981633974483,0.93,0.0,0.0,-100.0
94,0.0,0.7853981633974483,0.9400000000000001,0.0,0.0,-100.0
95,0.0,0.7853981633974483,0.9500000000000001,0.0,0.0,-100.0
96,0.0,0.7853981633974483,0.96,0.0,0.0,-100.0
97,0.0,0.7853981633974483,0.97,0.0,0.0,-100.0
98,0.0,0.7853981633974483,0.98,0.0,0.0,-100.0
99,0.0,0.7853981633974483,0.99,0.0,0.0,-100.0
100,0.0,0.7853981633974483,1.0,0.0,0.0,-100.0
101,0.0,0.7853981633974483,1.01,0.0,0.0,-100.0
102,0.0,0.7853981633974483,1.02,0.0,0.0,-100.0
103,0.0,0.7853981633974483,1.03,0.0,0.0,-100.0
104,0.0,0.7853981633974483,1.04,0.0,0.0,-100.0
105,0.0,0.7853981633974483,1.05,0.0,0.0,-100.0
106,0.0,0.7853981633974483,1.06,0.0,0.0,-100.0
107,0.0,0.7853981633974483,1.07,0.0,0.0,-100.0
108,0.0,0.7853981633974483,1.08,0.0,0.0,-100.0
109,0.0,0.7853981633974483,1.09,0.0,0.0,-100.0
110,0.0,0.7853981633974483,1.1,0.0,0.0,-100.0
111,0.0,0.7853981633974483,1.11,0.0,0.0,-100.0
112,0.0,0.7853981633974483,1.12,0.0,0.0,-100.0
113,0.0,0.7853981633974483,1.1300000000000001,0.0,0.0,-100.0
114,0.0,0.7853981633974483,1.1400000000000001,0.0,0.0,-100.0
115,0.0,0.7853981633974483,1.1500000000000001,0.0,0.0,-100.0
116,0.0,0.7853981633974483,1.16,0.0,0.0,-100.0
117,0.0,0.7853981633974483,1.17,0.0,0.0,-100.0
118,0.0,0.7853981633974483,1.18,0.0,0.0,-100.0
119,0.0,0.7853981633974483,1.19,0.0,0.0,-100.0
120,0.0,0.7853981633974483,1.2,0.0,0.0,-100.0
121,0.0,0.7853981633974483,1.21,0.0,0.0,-100.0
122,0.0,0.7853981633974483,1.22,0.0,0.0,-100.0
123,0.0,0.7853981633974483,1.23,0.0,0.0,-100.0
124,0.0,0.7853981633974483,1.24,0.0,0.0,-100.0
125,0.0,0.7853981633974483,1.25,0.0,0.0,-100.0
126,0.0,0.7853981633974483,1.26,0.0,0.0,-100.0
127,0.0,0.7853981633974483,1.27,0.0,0.0,-100.0
128,0.0,0.7853981633974483,1.28,0.0,0.0,-100.0
129,0.0,0.7853981633974483,1.29,0.0,0.0,-100.0
130,0.0,0.7853981633974483,1.3,0.0,0.0,-100.0
131,0.0,0.7853981633974483,1.31,0.0,0.0,-100.0
132,0.0,0.7853981633974483,1.32,0.0,0.0,-100.0
133,0.0,0.7853981633974483,1.33,0.0,0.0,-100.0
134,0.0,0.7853981633974483,1.34,0.0,0.0,-100.0
135,0.0,0.7853981633974483,1.35,0.0,0.0,-100.0
136,0.0,0.7853981633974483,1.36,0.0,0.0,-100.0
137,0.0,0.7853981633974483,1.37,0.0,0.0,-100.0
138,0.0,0.7853981633974483,1.3800000000000001,0.0,0.0,-100.0
139,0.0,0.7853981633974483,1.3900000000000001,0.0,0.0,-100.0
140,0.0,0.7853981633974483,1.4000000000000001,0.0,0.0,-100.0
141,0.0,0.7853981633974483,1.41,0.0,0.0,-100.0
142,0.0,0.7853981633974483,1.42,0.0,0.0,-100.0
143,0.0,0.7853981633974483,1.43,0.0,0.0,-100.0
144,0.0,0.7853981633974483,1.44,0.0,0.0,-100.0
145,0.0,0.7853981633974483,1.45,0.0,0.0,-100.0
146,0.0,0.7853981633974483,1.46,0.0,0.0,-100.0
147,0.0,0.7853981633974483,1.47,0.0,0.0,-100.0
148,0.0,0.7853981633974483,1.48,0.0,0.0,-100.0
149,0.0,0.7853981633974483,1.49,0.0,0.0,-100.0
150,0.0,0.7853981633974483,1.5,0.0,0.0,-100.0
151,0.0,0.7853981633974483,1.51,0.0,0.0,-100.0
152,0.0,0.7853981633974483,1.52,0.0,0.0,-100.0
153,0.0,0.7853981633974483,1.53,0.0,0.0,-100.0
154,0.0,0.7853981633974483,1.54,0.0,0.0,-100.0
155,0.0,0.7853981633974483,1.55,0.0,0.0,-100.0
156,0.0,0.7853981633974483,1.56,0.0,0.0,-100.0
157,0.0,0.7853981633974483,1.57,0.0,0.0,-100.0
158,0.0,0.7853981633974483,1.58,0.0,0.0,-100.0
159,0.0,0.7853981633974483,1.59,0.0,0.0,-100.0
160,0.0,0.7853981633974483,1.6,0.0,0.0,-100.0
161,0.0,0.7853981633974483,1.61,0.0,0.0,-100.0
162,0.0,0.7853981633974483,1.62,0.0,0.0,-100.0
163,0.0,0.7853981633974483,1.6300000000000001,0.0,0.0,-100.0
164,0.0,0.7853981633974483,1.6400000000000001,0.0,0.0,-100.0
165,0.0,0.7853981633974483,1.6500000000000001,0.0,0.0,-100.0
166,0.0,0.7853981633974483,1.6600000000000001,0.0,0.0,-100.0
167,0.0,0.7853981633974483,1.67,0.0,0.0,-100.0
168,0.0,0.7853981633974483,1.68,0.0,0.0,-100.0
169,0.0,0.7853981633974483,1.69,0.0,0.0,-100.0
170,0.0,0.7853981633974483,1.7,0.0,0.0,-100.0
171,0.0,0.7853981633974483,1.71,0.0,0.0,-100.0
172,0.0,0.7853981633974483,1.72,0.0,0.0,-100.0
173,0.0,0.7853981633974483,1.73,0.0,0.0,-100.0
174,0.0,0.7853981633974483,1.74,0.0,0.0,-100.0
175,0.0,0.7853981633974483,1.75,0.0,0.0,-100.0
176,0.0,0.7853981633974483,1.76,0.0,0.0,-100.0
177,0.0,0.7853981633974483,1.77,0.0,0.0,-100.0
178,0.0,0.7853981633974483,1.78,0.0,0.0,-100.0
179,0.0,0.7853981633974483,1.79,0.0,0.0,-100.0
180,0.0,0.7853981633974483,1.8,0.0,0.0,-100.0
181,0.0,0.7853981633974483,1.81,0.0,0.0,-100.0
182,0.0,0.7853981633974483,1.82,0.0,0.0,-100.0
183,0.0,0.7853981633974483,1.83,0.0,0.0,-100.0
184,0.0,0.7853981633974483,1.84,0.0,0.0,-100.0
185,0.0,0.7853981633974483,1.85,0.0,0.0,-100.0
186,0.0,0.7853981633974483,1.86,0.0,0.0,-100.0
187,0.0,0.7853981633974483,1.87,0.0,0.0,-100.0
188,0.0,0.7853981633974483,1.8800000000000001,0.0,0.0,-100.0
189,0.0,0.7853981633974483,1.8900000000000001,0.0,0.0,-100.0
190,0.0,0.7853981633974483,1.9000000000000001,0.0,0.0,-100.0
191,0.0,0.7853981633974483,1.9100000000000001,0.0,0.0,-100.0
192,0.0,0.7853981633974483,1.92,0.0,0.0,-100.0
193,0.0,0.7853981633974483,1.93,0.0,0.0,-100.0
194,0.0,0.7853981633974483,1.94,0.0,0.0,-100.0
195,0.0,0.7853981633974483,1.95,0.0,0.0,-100.0
196,0.0,0.7853981633974483,1.96,0.0,0.0,-100.0
197,0.0,0.7853981633974483,1.97,0.0,0.0,-100.0
198,0.0,0.7853981633974483,1.98,0.0,0.0,-100.0
199,0.0,0.7853981633974483,1.99,0.0,0.0,-100.0
200,0.0,0.7853981633974483,2.0,0.0,0.0,-100.0
201,0.0,0.7853981633974483,2.0100000000000002,0.0,0.0,-100.0
202,0.0,0.7853981633974483,2.02,0.0,0.0,-100.0
203,0.0,0.7853981633974483,2.0300000000000002,0.0,0.0,-100.0
204,0.0,0.7853981633974483,2.04,0.0,0.0,-100.0
205,0.0,0.7853981633974483,2.05,0.0,0.0,-100.0
206,0.0,0.7853981633974483,2.06,0.0,0.0,-100.0
207,0.0,0.7853981633974483,2.07,0.0,0.0,-100.0
208,0.0,0.7853981633974483,2.08,0.0,0.0,-100.0
209,0.0,0.7853981633974483,2.09,0.0,0.0,-100.0
210,0.0,0.7853981633974483,2.1,0.0,0.0,-100.0
211,0.0,0.7853981633974483,2.11,0.0,0.0,-100.0
212,0.0,0.7853981633974483,2.12,0.0,0.0,-100.0
213,0.0,0.7853981633974483,2.13,0.0,0.0,-100.0
214,0.0,0.7853981633974483,2.14,0.0,0.0,-100.0
215,0.0,0.7853981633974483,2.15,0.0,0.0,-100.0
216,0.0,0.7853981633974483,2.16,0.0,0.0,-100.0
217,0.0,0.7853981633974483,2.17,0.0,0.0,-100.0
218,0.0,0.7853981633974483,2.18,0.0,0.0,-100.0
219,0.0,0.7853981633974483,2.19,0.0,0.0,-100.0
220,0.0,0.7853981633974483,2.2,0.0,0.0,-100.0
221,0.0,0.7853981633974483,2.21,0.0,0.0,-100.0
222,0.0,0.7853981633974483,2.22,0.0,0.0,-100.0
223,0.0,0.7853981633974483,2.23,0.0,0.0,-100.0
224,0.0,0.7853981633974483,2.24,0.0,0.0,-100.0
225,0.0,0.7853981633974483,2.25,0.0,0.0,-100.0
226,0.0,0.7853981633974483,2.2600000000000002,0.0,0.0,-100.0
227,0.0,0.7853981633974483,2.27,0.0,0.0,-100.0
228,0.0,0.7853981633974483,2.2800000000000002,0.0,0.0,-100.0
229,0.0,0.7853981633974483,2.29,0.0,0.0,-100.0
230,0.0,0.7853981633974483,2.3000000000000003,0.0,0.0,-100.0
231,0.0,0.7853981633974483,2.31,0.0,0.0,-100.0
232,0.0,0.7853981633974483,2.32,0.0,0.0,-100.0
233,0.0,0.7853981633974483,2.33,0.0,0.0,-100.0
234,0.0,0.7853981633974483,2.34,0.0,0.0,-100.0
235,0.0,0.7853981633974483,2.35,0.0,0.0,-100.0
236,0.0,0.7853981633974483,2.36,0.0,0.0,-100.0
237,0.0,0.7853981633974483,2.37,0.0,0.0,-100.0
238,0.0,0.7853981633974483,2.38,0.0,0.0,-100.0
239,0.0,0.7853981633974483,2.39,0.0,0.0,-100.0
240,0.0,0.7853981633974483,2.4,0.0,0.0,-100.0
241,0.0,0.7853981633974483,2.41,0.0,0.0,-100.0
242,0.0,0.7853981633974483,2.42,0.0,0.0,-100.0
243,0.0,0.7853981633974483,2.43,0.0,0.0,-100.0
244,0.0,0.7853981633974483,2.44,0.0,0.0,-100.0
245,0.0,0.7853981633974483,2.45,0.0,0.0,-100.0
246,0.0,0.7853981633974483,2.46,0.0,0.0,-100.0
247,0.0,0.7853981633974483,2.47,0.0,0.0,-100.0
248,0.0,0.7853981633974483,2.48,0.0,0.0,-100.0
249,0.0,0.7853981633974483,2.49,0.0,0.0,-100.0
250,0.0,0.7853981633974483,2.5,0.0,0.0,-100.0
